smiles,PCE
CN(C)c1ccc(/C=C/c2sc(/C=C/C3=[N+](CCC(=O)O)c4ccc5ccccc5c4C3(C)C)c3c2OCCO3)cc1,23.2
CN(C)c1ccc(/C=C/c2ccc(/C=C/C3=[N+](CCC(=O)O)c4ccc5ccccc5c4C3(C)C)s2)cc1,18.5
CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4ccccc4C3(C)C)=C2Oc2ccc(/C(=C(\c3ccccc3)c3ccc(OC4=C(/C=C/C5=[N+](CCC)c6ccccc6C5(C)C)CCC/C4=C\C=C4/N(CCC)c5ccccc5C4(C)C)cc3)c3ccccc3)cc2)C(C)(C)c2ccccc21,38.5
Cc1ccc(N(c2ccc(C)cc2)c2ccc3cc(/C=C/c4cc[n+](C)c5ccccc45)c(=O)oc3c2)cc1,55.0
CCn1c2cc(/C=C/c3c4ccccc4[n+](C)c4ccccc34)ccc2c2ccc(N(c3ccccc3)c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)cc21,44.8
CCCCCCCCOc1ccc(N(c2ccc(OCCCCCCCC)cc2)c2ccc(-c3c4c(c(-c5ccc(N(c6ccc(OCCCCCCCC)cc6)c6ccc(OCCCCCCCC)cc6)cc5)c5nsnc35)N=S=N4)cc2)cc1,22.0
COCCOCCOCCOc1ccc(C2=[N+]3C(=Nc4c(-c5ccc(N(C)C)cc5)cc(-c5ccc(OCCOCCOCCOC)cc5)n4[B-]3(F)F)C(c3ccc(N(C)C)cc3)=C2)cc1,25.0
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCC(=O)O)c4ccc(Cl)cc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccc(Cl)cc21,42.3
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCC(=O)O)c4ccc(Br)cc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccc(Br)cc21,43.4
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCC(=O)O)c4ccc(I)cc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccc(I)cc21,46.6
CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6/C(=O)c7ccccc7C6C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4/C(=O)c5ccccc5C4C(C#N)C#N)sc23)cc1,41.6
CN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](C)c4ccc(C(=O)O)cc4C3(C)C)=C2Cl)C(C)(C)c2cc(C(=O)O)ccc21,30.2
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CC(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CC(=O)O)c2ccc(S(=O)(=O)[O-])cc21,31.8
CCCCCCOc1ccc(-c2nc3c(-c4ccc(-c5ccc(C(=C(c6ccccc6)c6ccccc6)c6ccccc6)cc5)s4)c4nsnc4c(-c4ccc(-c5ccc(C(=C(c6ccccc6)c6ccccc6)c6ccccc6)cc5)s4)c3nc2-c2ccc(OCCCCCC)cc2)cc1,46.0
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,3.37
CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3,57.3
